GroupNum,Index,Type,Pos_P,Pos_I,Pos_D,Pos_AntiW,Pos_Term,Spd_P,Spd_I,Spd_AntiW,Curr_P,Curr_I,Curr_AntiW
1,0,P_P,7.227,23.218,0,0,7.426,2.475,0,4,69,100,0.1
1,1,P_R,1.49,39.608,0,0,8.042,2.355,0,4,135,100,0.2
1,2,P_N,2.306,27.651,0,0,7.509,0.039,0,1,69,100,0.1
1,3,P_D,9.444,47.644,0,0,2.49,1.323,0,3,160,100,0.2
1,4,R_P,5.677,9.428,0,0,9.705,0.813,0,4,171,100,0.1
1,5,R_R,2.745,39.013,0,0,3.865,1.612,0,5,128,100,0.2
1,6,R_N,4.331,37.643,0,0,6.237,0.556,0,4,89,100,0.1
1,7,R_D,6.082,14.531,0,0,7.249,0.908,0,2,92,100,0.2
1,8,N_P,5.783,21.977,0,0,6.306,1.28,0,5,103,100,0.1
1,9,N_R,3.171,12.106,0,0,8.572,1.181,0,5,119,100,0.2
1,10,N_N,9.764,25.686,0,0,5.371,2.503,0,1,64,100,0.1
1,11,N_D,8.714,40.789,0,0,6.798,1.583,0,4,50,100,0.2
1,12,D_P,5.241,30.965,0,0,3.518,2.726,0,4,76,100,0.1
1,13,D_R,8.474,18.22,0,0,5.404,1.779,0,4,192,100,0.2
1,14,D_N,3.861,30.747,0,0,5.523,2.694,0,4,175,100,0.1
1,15,D_D,8.015,7.788,0,0,2.835,1.533,0,2,142,100,0.2
2,16,P_P,15,10,0.003,0,1,3,0.001,0.32,150,150,0.32
2,17,P_R,9,48.5,0.003,0,8.9,3.2,0.001,0.32,125,150,0.32
2,18,P_N,12,10,0.003,0,15.4333,3.2,0.001,0.32,125,150,0.32
2,19,P_D,13,10,0.003,0,15.85,2.5,0.001,0.32,50,150,0.32
2,20,R_P,10,10,0.003,0,11.4,3.2,0.001,0.32,150,150,0.32
2,21,R_R,15,10,0.003,0,1,3,0.001,0.32,150,150,0.32
2,22,R_N,13,10,0.003,0,4.5,3.2,0.001,0.32,150,150,0.32
2,23,R_D,13,8.5,0.003,0,11.4,3,0.001,0.32,60,150,0.32
2,24,N_P,15,10,0.003,0,15.433,3,0.001,0.32,150,150,0.32
2,25,N_R,8,10,0.003,0,8.55,2.5,0.001,0.32,50,150,0.32
2,26,N_N,10,10,0.003,0,1,1,0.001,0.32,150,150,0.32
2,27,N_D,10,10,0.003,0,4.2,2.5,0.001,0.32,70,150,0.32
2,28,D_P,13.5,11.5,0.003,0,15.85,2.8,0.001,0.32,145,150,0.32
2,29,D_R,13,10,0.003,0,11.4,3.2,0.001,0.32,60,150,0.32
2,30,D_N,9,8.5,0.003,0,8.55,3.2,0.001,0.32,70,150,0.32
2,31,D_D,10,10,0.003,0,1,1.5,0.001,0.32,150,150,0.32
3,32,P_P,10,23.218,0.1,0,1,3,0.001,0.32,150,150,0.32
3,33,P_R,11,39.608,0.1,0,8.9,3.2,0.001,0.32,125,150,0.32
3,34,P_N,10,27.651,0.1,0,15.4333,3.2,0.001,0.32,125,150,0.32
3,35,P_D,11,47.644,0.1,0,15.85,2.5,0.001,0.32,50,150,0.32
3,36,R_P,10,9.428,0.1,0,11.4,3.2,0.001,0.32,150,150,0.32
3,37,R_R,11,39.013,0.1,0,1,3,0.001,0.32,150,150,0.32
3,38,R_N,10,37.643,0.1,0,4.5,3.2,0.001,0.32,150,150,0.32
3,39,R_D,11,14.531,0.1,0,11.4,3,0.001,0.32,60,150,0.32
3,40,N_P,10,21.977,0.1,0,15.433,3,0.001,0.32,150,150,0.32
3,41,N_R,11,12.106,0.1,0,8.55,2.5,0.001,0.32,50,150,0.32
3,42,N_N,10,25.686,0.1,0,1,1,0.001,0.32,150,150,0.32
3,43,N_D,11,40.789,0.1,0,4.2,2.5,0.001,0.32,70,150,0.32
3,44,D_P,10,30.965,0.1,0,15.85,2.8,0.001,0.32,145,150,0.32
3,45,D_R,11,18.22,0.1,0,11.4,3.2,0.001,0.32,60,150,0.32
3,46,D_N,10,30.747,0.1,0,8.55,3.2,0.001,0.32,70,150,0.32
3,47,D_D,11,7.788,0.1,0,1,1.5,0.001,0.32,150,150,0.32
4,48,P_P,13,10,0.1,0,1,3,0.001,0.32,150,150,0.32
4,49,P_R,14,48.5,0.1,0,8.9,3.2,0.001,0.32,125,150,0.32
4,50,P_N,13,10,0.1,0,15.4333,3.2,0.001,0.32,125,150,0.32
4,51,P_D,14,10,0.1,0,15.85,2.5,0.001,0.32,50,150,0.32
4,52,R_P,13,10,0.1,0,11.4,3.2,0.001,0.32,150,150,0.32
4,53,R_R,14,10,0.1,0,1,3,0.001,0.32,150,150,0.32
4,54,R_N,13,10,0.1,0,4.5,3.2,0.001,0.32,150,150,0.32
4,55,R_D,14,8.5,0.1,0,11.4,3,0.001,0.32,60,150,0.32
